uid	abstract	title	journal
32152556	Angiotensin-(1-9) is a peptide from the noncanonical renin-angiotensin system with anti-hypertrophic effects in cardiomyocytes via an unknown mechanism. In the present study we aimed to elucidate it, basing us initially on previous work from our group and colleagues who proved a relationship between disturbances in mitochondrial morphology and calcium handling, associated with the setting of cardiac hypertrophy. Our first finding was that angiotensin-(1-9) can induce mitochondrial fusion through DRP1 phosphorylation. Secondly, angiotensin-(1-9) blocked mitochondrial fission and intracellular calcium dysregulation in a model of norepinephrine-induced cardiomyocyte hypertrophy, preventing the activation of the calcineurin/NFAT signaling pathway. To further investigate angiotensin-(1-9) anti-hypertrophic mechanism, we performed RNA-seq studies, identifying the upregulation of miR-129 under angiotensin-(1-9) treatment. miR-129 decreased the transcript levels of the protein kinase A inhibitor (PKIA), resulting in the activation of the protein kinase A (PKA) signaling pathway. Finally, we showed that PKA activity is necessary for the effects of angiotensin-(1-9) over mitochondrial dynamics, calcium handling and its anti-hypertrophic effects.	Angiotensin-(1-9) prevents cardiomyocyte hypertrophy by controlling mitochondrial dynamics via miR-129-3p/PKIA pathway.	Cell death and differentiation
32139900	The elevated expression of poly(ADP-ribose) polymerase-1 (PARP1) and increased PARP1 activity, namely, poly(ADP-ribosyl)ation (PARylation), have been observed in cardiac remodeling, leading to extreme energy consumption and myocardial damage. However, the mechanisms underlying the regulation of PARP1 require further study. WWP2, a HECT-type E3 ubiquitin ligase, is highly expressed in the heart, but its function there is largely unknown. Here, we clarified the role of WWP2 in the regulation of PARP1 and the impact of this regulatory process on cardiac remodeling. We determined that the knockout of WWP2 specifically in myocardium decreased the level of PARP1 ubiquitination and increased the effects of isoproterenol (ISO)-induced PARP1 and PARylation, in turn aggravating ISO-induced myocardial hypertrophy, heart failure, and myocardial fibrosis. Similar findings were obtained in a model of ISO-induced H9c2 cells with WWP2 knockdown, while the reexpression of WWP2 significantly increased PARP1 ubiquitination and decreased PAPR1 and PARylation levels. Mechanistically, coimmunoprecipitation results identified that WWP2 is a novel interacting protein of PARP1 and mainly interacts with its BRCT domain, thus mediating the degradation of PARP1 through the ubiquitin-proteasome system. In addition, lysine 418 (K418) and lysine 249 (K249) were shown to be of critical importance in regulating PARP1 ubiquitination and degradation by WWP2. These findings reveal a novel WWP2-PARP1 signal transduction pathway involved in controlling cardiac remodeling and may provide a basis for exploring new strategies for treating heart disorders related to cardiac remodeling.	Selective targeting of ubiquitination and degradation of PARP1 by E3 ubiquitin ligase WWP2 regulates isoproterenol-induced cardiac remodeling.	Cell death and differentiation
32332915	Liver dysfunction is strongly associated with poor survival of sepsis patients. Cytosolic lipopolysaccharide (LPS) sensing by Caspase-4/5/11 for pyroptosis activation is a major driver of the development of sepsis. Studies in macrophages and endothelial cells have demonstrated that LPS is inactivated by acyloxyacyl hydrolase (AOAH) and leading to desensitizing Caspase-4/5/11 to LPS. However, little is known about the cytosolic LPS-induced pyroptosis in hepatocytes during sepsis. Heat shock protein 12A (HSPA12A) is a novel member of the HSP70 family. Here, we report that LPS increased HSPA12A nuclear translocation in hepatocytes, while knockout of HSPA12A (Hspa12a(-/-)) in mice promoted LPS-induced acute liver injury. We also noticed that the LPS-induced Caspase-11 activation and its cleavage of gasdermin D (GSDMD) to produce the membrane pore-forming GSDMD(Nterm) (markers of pyroptosis) were greater in livers of Hspa12a(-/-) mice compared with its wild type controls. Loss- and gain-of-function studies showed that HSPA12A deficiency promoted, whereas HSPA12A overexpression inhibited, cytosolic LPS accumulation, Caspase-11 activation and GSDMD(Nterm) generation in primary hepatocytes following LPS incubation. Notably, LPS-induced AOAH expression was suppressed by HSPA12A deficiency, whereas AOAH overexpression reversed the HSPA12A deficiency-induced promotion of LPS-evoked and Caspase-11-mediated pyroptosis of hepatocytes. In-depth molecular analysis showed that HSPA12A interacted directly with peroxisome proliferator-activated receptor gamma coactivator 1alpha (PGC-1alpha) and increased its nuclear translocation, thereby inducing AOAH expression for cytosolic LPS inactivation, which ultimately leading to inhibition of the Caspase-11 mediated pyroptosis of hepatocytes. Taken together, these findings revealed HSPA12A as a novel player against LPS-induced liver injury by inhibiting cytosolic LPS-induced hepatocyte pyroptosis via PGC-1alpha-mediated AOAH expression. Therefore, targeting hepatocyte HSPA12A represents a viable strategy for the management of liver injury in sepsis patients.	HSPA12A attenuates lipopolysaccharide-induced liver injury through inhibiting caspase-11-mediated hepatocyte pyroptosis via PGC-1alpha-dependent acyloxyacyl hydrolase expression.	Cell death and differentiation
32313199	TRAIL-R2 (DR5) is a clinically-relevant therapeutic target and a key target for immune effector cells. Herein, we identify a novel interaction between TRAIL-R2 and the Skp1-Cullin-1-F-box (SCF) Cullin-Ring E3 Ubiquitin Ligase complex containing Skp2 (SCF(Skp2)). We find that SCF(Skp2) can interact with both TRAIL-R2's pre-ligand association complex (PLAC) and ligand-activated death-inducing signalling complex (DISC). Moreover, Cullin-1 interacts with TRAIL-R2 in its active NEDDylated form. Inhibiting Cullin-1's DISC recruitment using the NEDDylation inhibitor MLN4924 (Pevonedistat) or siRNA increased apoptosis induction in response to TRAIL. This correlated with enhanced levels of the caspase-8 regulator FLIP at the TRAIL-R2 DISC, particularly the long splice form, FLIP(L). We subsequently found that FLIP(L) (but not FLIP(S), caspase-8, nor the other core DISC component FADD) interacts with Cullin-1 and Skp2. Importantly, this interaction is enhanced when FLIP(L) is in its DISC-associated, C-terminally truncated p43-form. Prevention of FLIP(L) processing to its p43-form stabilises the protein, suggesting that by enhancing its interaction with SCF(Skp2), cleavage to the p43-form is a critical step in FLIP(L) turnover. In support of this, we found that silencing any of the components of the SCF(Skp2) complex inhibits FLIP ubiquitination, while overexpressing Cullin-1/Skp2 enhances its ubiquitination in a NEDDylation-dependent manner. DISC recruitment of TRAF2, previously identified as an E3 ligase for caspase-8 at the DISC, was also enhanced when Cullin-1's recruitment was inhibited, although its interaction with Cullin-1 was found to be mediated indirectly via FLIP(L). Notably, the interaction of p43-FLIP(L) with Cullin-1 disrupts its ability to interact with FADD, caspase-8 and TRAF2. Collectively, our results suggest that processing of FLIP(L) to p43-FLIP(L) at the TRAIL-R2 DISC enhances its interaction with co-localised SCF(Skp2), leading to disruption of p43-FLIP(L)'s interactions with other DISC components and promoting its ubiquitination and degradation, thereby modulating TRAIL-R2-mediated apoptosis.	The SCF(Skp2) ubiquitin ligase complex modulates TRAIL-R2-induced apoptosis by regulating FLIP(L).	Cell death and differentiation
32327714	ErbB2 overexpression identifies a subclass of breast cancer as ErbB2-positive that is frequently associated with poor prognosis. Current ErbB2-targeted therapies have profoundly improved patient outcomes, but mutations occurring in ErbB2 have been shown to confer drug resistance. Induction of ErbB2 degradation was proposed as an intriguing strategy to battle with ErbB2-positive breast cancer and reduced mutation-incurred drug resistance. Although multiple HSP90 inhibitors have been demonstrated to effectively trigger ErbB2 degradation, none succeeded in the clinical evaluations. To develop novel ErbB2-targeting strategies, we investigated the endocytic degradation and reversible ubiquitylation of ErbB2 in breast cancer. In this study, we reveal that HSP90 inhibition leads to efficient ubiquitylation and endocytic degradation of ErbB2 through the canonical endo-lysosomal route. USP2 associates with internalized ErbB2 and prevents its lysosomal sorting and degradation via exerting deubiquitylase activity. Accordingly, the USP2 inhibitor ML364 is capable of inducing ErbB2 ubiquitylation and accelerating its turnover. ML364 potentiates the pro-degradation effects of HSP90 inhibitors on ErbB2 and hence sensitizes ErbB2-positive breast cancer cells to HSP90 inhibition. The combination of USP2 and HSP90 inhibitors effectively restrains ErbB2-positive breast cancer xenograft growth in vivo. Based on these observations, we conclude that USP2 safeguards ErbB2 surface levels by antagonizing its ubiquitylation-mediated endocytic degradation, which can be exploited to design novel therapeutic strategies against ErbB2-driven malignancies as combinatorial treatment with HSP90 inhibitors.	The deubiquitylase USP2 maintains ErbB2 abundance via counteracting endocytic degradation and represents a therapeutic target in ErbB2-positive breast cancer.	Cell death and differentiation
32346136	The Activation-Induced Cell Death (AICD) is a stimulation-dependent form of apoptosis used by the organism to shutdown T-cell response once the source of inflammation has been eliminated, while allowing the generation of immune memory. AICD is thought to progress through the activation of the extrinsic Fas/FasL pathway of cell death, leading to cytochrome-C release through caspase-8 and Bid activation. We recently described that, early upon AICD induction, mitochondria undergo structural alterations, which are required to promote cytochrome-C release and execute cell death. Here, we found that such alterations do not depend on the Fas/FasL pathway, which is instead only lately activated to amplify the cell death cascade. Instead, such alterations are primarily dependent on the MAPK proteins JNK1 and ERK1/2, which, in turn, regulate the activity of the pro-fission protein Drp1 and the pro-apoptotic factor Bim. The latter regulates cristae disassembly and cooperate with Drp1 to mediate the Mitochondrial Outer Membrane Permeabilization (MOMP), leading to cytochrome-C release. Interestingly, we found that Bim is also downregulated in T-cell Acute Lymphoblastic Leukemia (T-ALL) cells, this alteration favouring their escape from AICD-mediated control.	JNK1 and ERK1/2 modulate lymphocyte homeostasis via BIM and DRP1 upon AICD induction.	Cell death and differentiation
32332916	Although the roles of the Hippo pathway in organogenesis and tumorigenesis have been well studied in multiple organs, its role in sperm maturation and male fertility has not been investigated. The initial segment (IS) of the epididymis plays a critical role in sperm maturation. IS differentiation is governed by ERK1/2, but the mechanisms of ERK1/2 activation in IS are not fully understood. Here we show that double knockout (dKO) of mammalian sterile 20-like kinases 1 and 2 (Mst1 and Mst2), homologs of Hippo in Drosophila, in the epididymal epithelium led to male infertility in mice. Sperm in the cauda epididymides of mutant mice were immotile with flagellar angulation and severely disorganized structures. Loss of Mst1/2 activated YAP and increased proliferation and cell death in all the segments of epididymis. The mutant mice showed substantially suppressed MEK/ERK signaling in the IS and failed IS differentiation. Deletion of Yap restored the reduced MEK/ERK signaling, and partially rescued the defective IS differentiation and fertility in Mst1/2 dKO mice. Our results demonstrate that YAP inhibits the MEK/ERK pathway in IS epithelial cells, and MST1/2 control IS differentiation and fertility at least partially by repressing YAP. Taken together, the Hippo pathway is essential for sperm maturation and male fertility.	Hippo kinases MST1 and MST2 control the differentiation of the epididymal initial segment via the MEK-ERK pathway.	Cell death and differentiation
32424140	Pathological cardiac hypertrophy eventually leads to heart failure without adequate treatment. REGgamma is emerging as 11S proteasome activator of 20S proteasome to promote the degradation of cellular proteins in a ubiquitin- and ATP-independent manner. Here, we found that REGgamma was significantly upregulated in the transverse aortic constriction (TAC)-induced hypertrophic hearts and angiotensin II (Ang II)-treated cardiomyocytes. REGgamma deficiency ameliorated pressure overload-induced cardiac hypertrophy were associated with inhibition of cardiac reactive oxygen species (ROS) accumulation and suppression of protein phosphatase 2A catalytic subunit alpha (PP2Acalpha) decay. Mechanistically, REGgamma interacted with and targeted PP2Acalpha for degradation directly, thereby leading to increase of phosphorylation levels and nuclear export of Forkhead box protein O (FoxO) 3a and subsequent of SOD2 decline, ROS accumulation, and cardiac hypertrophy. Introducing exogenous PP2Acalpha or SOD2 to human cardiomyocytes significantly rescued the REGgamma-mediated ROS accumulation of Ang II stimulation in vitro. Furthermore, treatment with superoxide dismutase mimetic, MnTBAP prevented cardiac ROS production and hypertrophy features that REGgamma caused in vivo, thereby establishing a REGgamma-PP2Acalpha-FoxO3a-SOD2 pathway in cardiac oxidative stress and hypertrophy, indicates modulating the REGgamma-proteasome activity may be a potential therapeutic approach in cardiac hypertrophy-associated disorders.	The proteasome activator REGgamma accelerates cardiac hypertrophy by declining PP2Acalpha-SOD2 pathway.	Cell death and differentiation
32424142	The mesenchymal transcription factor forkhead box F2 (FOXF2) is a critical regulator of embryogenesis and tissue homeostasis. Our previous studies demonstrated that FOXF2 is ectopically expressed in basal-like breast cancer (BLBC) cells and that FOXF2 deficiency promotes the epithelial-mesenchymal transition and aggressiveness of BLBC cells. In this study, we found that FOXF2 controls transforming growth factor-beta (TGF-beta)/SMAD signaling pathway activation through transrepression of TGF-beta-coding genes in BLBC cells. FOXF2-deficient BLBC cells adopt a myofibroblast-/cancer-associated fibroblast (CAF)-like phenotype, and tend to metastasize to visceral organs by increasing autocrine TGF-beta signaling and conferring aggressiveness to neighboring cells by increasing paracrine TGF-beta signaling. In turn, TGF-beta silences FOXF2 expression through upregulating miR-182-5p, a posttranscriptional regulator of FOXF2 and inducer of metastasis. In addition to mediating a reciprocal repression loop between FOXF2 and TGF-beta through direct transrepression by SMAD3, miR-182-5p forms a reciprocal repression loop with FOXF2 that directly transrepresses MIR182 expression. Therefore, FOXF2 deficiency accelerates the visceral metastasis of BLBC through unrestricted increases in autocrine and paracrine TGF-beta signaling, and miR-182-5p expression. Our findings provide novel mechanisms underlying the roles of TGF-beta, miR-182-5p, and FOXF2 in accelerating BLBC dissemination and metastasis, and may facilitate the development of therapeutic strategies for aggressive BLBC.	FOXF2 deficiency accelerates the visceral metastasis of basal-like breast cancer by unrestrictedly increasing TGF-beta and miR-182-5p.	Cell death and differentiation
32415280	Conventional screening methods for deubiquitinating enzymes (DUBs) have important limitations. A loss-of-function study based on the knockout of DUB genes in mammalian cells can provide an excellent model for exploring DUB function. Here, we used CRISPR-Cas9 to perform genome-scale knockout of the entire set of genes encoding ubiquitin-specific proteases (USPs), a DUB subfamily, and then systematically screened for DUBs that stabilize the Cdc25A oncoprotein. USP3 was identified as a deubiquitinase of Cdc25A. USP3 depletion reduces the Cdc25A protein level, resulting in a significant delay in cell-cycle progression, and reduces the growth of cervical tumor xenografts in nude mice. Clinically, USP3 expression is positively correlated with Cdc25A protein expression and the poorest survival in breast cancer. We envision that our DUB knockout library kit will facilitate genome-scale screening of functional DUBs for target proteins of interest in a wide range of biomedical fields.	Genome-scale screening of deubiquitinase subfamily identifies USP3 as a stabilizer of Cdc25A regulating cell cycle in cancer.	Cell death and differentiation
32424143	The lysyl oxidase (LOX) family is closely related to the progression of glioma. To ensure the clinical significance of LOX family in glioma, The Cancer Genome Atlas (TCGA) database was mined and the analysis indicated that higher LOXL1 expression was correlated with more malignant glioma progression. The functions of LOXL1 in promoting glioma cell survival and inhibiting apoptosis were studied by gain- and loss-of-function experiments in cells and animals. LOXL1 was found to exhibit antiapoptotic activity by interacting with multiple antiapoptosis modulators, especially BAG family molecular chaperone regulator 2 (BAG2). LOXL1-D515 interacted with BAG2-K186 through a hydrogen bond, and its lysyl oxidase activity prevented BAG2 degradation by competing with K186 ubiquitylation. Then, we discovered that LOXL1 expression was specifically upregulated through the VEGFR-Src-CEBPA axis. Clinically, the patients with higher LOXL1 levels in their blood had much more abundant BAG2 protein levels in glioma tissues. Conclusively, LOXL1 functions as an important mediator that increases the antiapoptotic capacity of tumor cells, and approaches targeting LOXL1 represent a potential strategy for treating glioma. In addition, blood LOXL1 levels can be used as a biomarker to monitor glioma progression.	LOXL1 confers antiapoptosis and promotes gliomagenesis through stabilizing BAG2.	Cell death and differentiation
32424141	CD4/CD8 T-cell lineage differentiation is a key process in immune system development; however, a defined regulator(s) that converts the signal from T-cell receptor and co-receptor complexes into lineage differentiation remains unclear. Here, we show that Twist2 is a critical factor in CD4/CD8 thymocyte differentiation. Twist2 expression is differentially regulated by T-cell receptor signaling, leading to differentiation into the CD4 or CD8 lineage. Forced Twist2 expression perturbed CD4(+) thymocyte differentiation while enhancing CD8(+) thymocyte differentiation. Furthermore, Twist2 expression produced mature CD8(+) thymocytes in B2m(-/-) mice, while its deficiency significantly impaired CD8(+) cells in MHC class-II(-/)(-) and TCR transgenic mice, favoring CD8 T-cell differentiation. During CD8 lineage differentiation, Twist2 interacted with Runx3 to bind to the silencer region of the ThPOK locus, thereby blocking ThPOK expression. These findings indicate that Twist2 is a part of the transcription factor network controlling CD8 lineage differentiation.	Twist2 promotes CD8(+) T-cell differentiation by repressing ThPOK expression.	Cell death and differentiation
